userName,content,score
marianus nus,baru pertamakali pesan di Zalora jadi 3 bintang sj dlu ya🙏🙏,3
Putra Cpr,bagus,5
Quiesa,good🩷,5
Retdi Prakoso,banyak diskon menarik,5
Syafiq Ramadhan,kalo produk tinggal 1 kasi notif ngntod,1
Muhamad Rohim,Ok,5
Rai Wiadnyana,mantap,5
raoul onley,Barang terjamin,5
nuzul rizky,keren,4
Darmanto prakoso,keren,5
02 Agus Supriyono,bagus buat belanja,5
Rafsanjani lakotani,sangat bagus,5
Mansur Al bantani,semoga semakin memudahkan kita untuk berbelanja.,2
Aldo Wahyu wijaya,mantap,5
ENDI FIFRIZON,terima kasih kepada Zalora atas pelayanan yang begitu detail 👍,4
Tuti Hartati,mudah utk berbelanja,5
Eko Wahyudi,ok bgt,5
Ikhe Dayana,cepat dan ori,5
Shobri Achmad,noted,5
sumarni salim,sudah lama tidak belanja di zalora tetap pelayanan the best,5
Anna Mulyadi,good shopping,3
fajar triyono,mantap,5
czal wars,ok,5
Sevenfoldism A7x,Hsueb,5
091 Adeyogi,"Barang sudah satu minggu di biarkan tidak di proses tidak di kirim sedangkan pembyaran sudah saya selesaikan,",1
Eny Rahmawati,Prosedur pemesanan mudah,5
wahyoe asep,bintangnya 3 dulu yah krn aku baru pesan via zalora 😂😂 nanti kalo pesanan ini udh nyampe baru saya kasih nilai lagi,3
Muhammad Zuhdie,The best pool✨😋,5
Agus Rayhan,ok,5
Agung Alit,sangat baik,3
Mita Wahyuni,sering logout sendiri,2
galasakti tube (gasabe),Iklannya barang2 ori Padahal yg datang barang jauh dari gambar. Sialan. Brengsek Ulasan yg buruk tidak ditampilkan. Hei Zalora. Cek ulasan saya dengan nama barang jaket sogno hitam. Mana ulasanku. Kenapa TDK terlihat.,1
Subhan Irawady,very original,5
Koem Subang,awesome,5
sidik,dijamin original product,5
muhammad aldino,Pengiriman barang dengan kurir Zalora lambat bgt udah 4 hari gak jalan2 kacau sekali kelen,1
Muhammad Ridwan,Saya coba,5
Benny Darmansyah,Zalora skrng bnyak ori tokoh bukan ori dri brand nya. Sngat mngecewakan skrng blnja di zalora 😏 Buat yg ingin blnja di zalora mending mikir dulu deh. Dri pada nnti mngecewakan😄,1
Alifa Azizah,good,5
Hendri Suriadi,saya suka saya suka ok bamget,5
Rusmedi Acwjunkie,sgini dulu soalnya baru pertma kali belanja di sini,3
Arip Ho,menyala,5
Iskandar semmy,good job,5
Sandhy Djibran,rekomendasi bagi pencari barang berkualitas..,5
Hadi Hadiprayitno,ok,5
Amalia Dewi,Dulu pengiriman cepet sekarang lelet. Tidak ada kompensasi dari pihak e-commerce utk paket yg dikirim melebihi batas waktu. Bad service,1
Garry Armando,mantapp,5
Bernadeta Nadea Claresta,"Aneh banget pesanan tiba tiba dibatalkan padahal saya sudah melakukan pembayaran melalui virtual account bank mandiri ,saya pikir di aplikasi nya delay karena tidak berubah status nya ternyata tidak terproses, payahh!!!! ,kembalikan dana saya sebesar 127.910",1
dede mulyadi,ok pam,5
Emy Emy,bisa tukar atau ganti ukuran gratis ongkir pula untuk pengembalian.. recomended,5
Nauwaf Al humaid,"payahh.... gaada fitur chat ke seller, ada masalah jd repot urusan",2
riza pratama,bagussss,5
Muhammad Fathun Najib,Tambahkan fitur chat ke seller untuk menanyakan stok habis atau kosong dan menayakan hal lain seputar produk biar user nya yg mau beli merasa nyaman dan aman. Bagiamana user mau beli kalo tidak ada fitur chat seperti ini?,3
Astry Adyantie,terpercayaaaaaaa,5
rahmad riaddi,"Bagus buat cari produk orginal yang tidak ada di store indonesia , cth sendal adidas dari malaysia.",5
Audi Gallang,karna penguna baru jadi saya belum tau next time nya dan semoga dengan bergabung dengan ZALORA ini semoga saya bisa membantu dan semoga bisa mendapatkan rezeki untuk sampingan keuangan saya dan Terima kasih atas kerja samanya🙏,5
Kaka Sari,okey,5
daryanto hs,"Selama berbelanja di sini sma sesuai,ino sangat membantu",5
Citra Kusuma,Semakin lama engga semakin baik tp semakin kurang pelayanan ataupun retur bayar skrg.. kalo bisa skip jgn beli di Zalora lg..,1
Edi Purnomo,mantap,5
Nasrul Kadir,mantap,5
Agustinus Ngongo,mantap,5
Isrotul Jannah,bagus banget,5
Sri Suryani wulandari,barangnya bagus semua,5
Rudi Hartono,karna baru pertama pesan di Zalora jadi bintang 4 dulu,4
dery pramuza,bagus banget,5
Sugiyanti Wagito,Belanja baju sma tas produknya sesuai orderan,5
Risal Muhammad,di tingkatkan segala aspeknya,5
Man Rahmad,Aĺ,5
Rizky dwi putri,bertagankan gratis ongkir agar menarik berbelanja.. dg kualitas brg yg ori,5
asilla sachi,"Dari dulu kalau mau nyari aman belinya di Zalora, soalnya udah 100 persen ori, katanya sekitar 2 tahun pake",5
AMRI MANALU,nice,4
Captain Popay,Nice 🥰🥰🥰🥰,4
Apin Wu,zallora the best comerce,5
Zelmi Saputra,ok,5
Onsario Tenggong,good,5
Billy D And W,8 ya gan 88,5
Wiwi Minoel,Barang ori,5
nurul hidayati,Kecewa sama pelayanannya. Paket saya dikirim menggunakan IDexpress 13 juli ke arah banda aceh tapi barang ditempatkan 18 juli di Aceh Jaya yang jelas-jelas melewati kota Banda Aceh dan sampai sekarang tidak ada pengiriman ke alamat. Sekelas zalora yang menjual harga mahal seharusnya tidak kerjasama dengan jasa pengiriman yang ratingnya buruk. Ini barang mahal-mahal kalau ga sampai merugikan. Mana komplain susah banget,1
bim Cryz,mantap,5
Aris Supriatman,simple,4
zulfahmi,Sagat berguna untuk membantu,5
Anggi Siti hasanah,Kak tolong cek pesanan saya kak sudah dua minggu tidak sampai saya merasa kesal karna sudah saya bayar maaf baru kali ini saya kecewa pada Zalora,2
Muhammad Eggy Ilyas Sobari Husada,"dari dulu selalu KECEWA BERAT pesen di apk ini, waktu pesen cod produk di apk sama pas sampe rumah harga nya beda jauh lah, trs pesan lagi topi warna hitam abu2 dikasihnya warna full hitam, skrg paket hampir 2 minggu gak ke kirim kirim gila banget sih apk ini buat ngejauhin buyer",1
Rosnawati,Jaminan mutu produk berkualitas,5
INGGIT UTAMI EKA PUTRI,"Kenapa produk playboy bunny bag ga ada lagi, kapan di restock 😭",3
Hendri Indrawan,puas,4
Herman Wijaya,bagus,5
Herlinda Tanjung,"Baru pertama belanja, masa dikirim lama banget, setelah ditanya hampir 1 bulan. Baru dikirim. Kecewa sih",1
PUTRI PUTU ASMO PAWIRO,"SANGATT MENYESAL BELANJA DI ZALORA, BELI BAJU BATIK YG DIKIRIM RUSAK BOLONG, SEKARANG UDAH DI RETUR 4 HARI LALU, TINGGAL TUNGGU REFUND, ADMIN SUSAH LAMBATTT SANGATTT, MENYESALLL POKOKNYA KALIAN YG PENASARAN SILAHKAN DONLOD DAN BELANJA AJA ,WKWK NANTI KALAU DANA GUE GAK BALIK, GUE BAKAL EDIT KOMENANANNYA LG,,, SUMPAHH NYESELLL BANGETTT BANGETTT BANGETTT, (SENIN 22 JULY 2024)",1
Trying Gamers,Kerennnnnn,5
salfi prasetyo,Member seja 2016,5
Ko Woy,"Good sihh, branded semua",5
Patimah,produknya bagus bagus,5
Titis Fajar,Produk original belanja nya disini,5
Uli Yanah,"aplikasi di hp ku kenapa sekarang JD error,klo mau CO gak bisa trs",5
Bang Yuzz,semua brand berkualitas baik ... kereennn,5
Rian Suwandito,good,5
Haxy Munaf,"Nyaman karena garansi penukaran dan pengembalian, jadi kalo tidak cocok bisa tukar ataupun refund. Jadi enak belinya. Gak takut salah size dan gak khawatir kalo modelnya gak cocok dibadan kita. Prosesnya pun mudah dan banyak promo. Love it",5
Yeni Sukowati,Suka banget belanja di ZALORA. Favorit bgt,5
Zulfikar Usman,oke,5
frida chrisniatipurnama,Harga dan barang bagus,5
Chandra Gouh,"Mau tanya dong, kepada pihak zalora, apa ada perekrutan karyawan online yg bisa dapet uang dengan mudah? Saya lamar kerja di zalora terus katanya dpt bagian co branding ,btw itu emg sistem kerja dari zalora apa emg penipuan mengatas namakan zalora?",5
Suparman Mamank,baik.,3
pandawa damin,saya baru pertama menggunakan nya sejauh in cukup mudah dn Ramah app y jadi béntang y 4 aj dulu,4
Yensi Andrieo,BANYAK DISKON,5
Ahmed Bn,"Kenapa barang saya dua kali pesanan di batalkan negitu saja tampa alasan yang jelas tolong di cek toko abal abalan semacam itu, dari bintang 3 saya turun ke bintang dua soalnya saya di batalkan oleh pemilik toko dengan alasan bahwa tempat tinggal saya tidak tercover cod padahal di menu pemayaran tersedian menu COD nya terimalasih....",2
Aprilia Yogi,online shop terbaik,5
Devita Nandia,good,5
Resta Wantiyana,mantap,5
ammar rizqillah,"pesanan lama diproses, hampir seminggu masih blm ada progres sama sekali. CS nya AI, ga ngebantu",2
ARI SETIAWAN,"Gimana ini kok barang saya sudah 2 minggu gak nyampe²,ada juga yg udah nunggu seminggu tiba² di batalin.gak jelas",1
Flenning Rima,menarik,5
grace nova,"Semakin di update semakin lemot,mau ceckuot muter muter mulu",1
Jamesallan Rarung,Sangat bermanfaat,5
Bil ly,mantap,5
Ketut Wiratmaja,cocok buat tua dan mda,5
Agoy,udah nunggu 3minggu ehh gatau nya pesnanan nya ga di kirim2 terus itu tiba2 peasanan nya terbatalkan konyol,1
Gundhi Wibowo,belanja puas top markotop,5
Candra Wijaya,bagus,3
Aji Suryanto1977,ok,5
yayat supriatna,mantap,5
rinayeni astuti,original,5
Devi Anggraeni,"Sebetulnya saya suka belanja dizalora krn lebih murah dr offline store tp untuk pengembalian produk yg cacat aplikasi tidak bs upload video,saya chat CS hanya dibantu email..saya kirim email tidak ada respon lagi dan itu merugikan customer..maaf untuk rating jujur saya..ini wujud kecewanya customer",1
Isa Anshari,Pengiriman sangat cepat 👍,1
Chico Oemar,keren dan asli!,5
Mahen Mahendra,"Penanganan penukaran barang lama sekali sampai hampir seminggu, No pelaporan 2864539",1
Lusi Ani,"BAGUS, ORIGINAL, SESUAI FOTO,DAN KWALITAS OK😍😍😍",5
Rafid New,Mantap ini barang ori semua gak kayak toko oren,5
IVAN EKA KURNIA,"Banyak pilihan, sesuai budget",5
TØMINSEK,❤️❤️,5
Akhmad sandy putra,Bagus membantu mencari product ori,5
Andy Galung,good,5
attar satria,TOKO TIDAK AMANAH !!! HAMPIR 2 MINGGU ORDER SEPATU SEKOLAH ANAK TIDAK SAMPAI JUGA !! TERAKHIR DI SURUH KIRIM PAKAI EKSPRESS !! PDHAL TGL ESTIMASI TIBA DARI ZALORA SENDIRI !! TRNYATA BARNG MASIH DI MALAYSIA !! TAU BGTU SY BELI DI MALL AJA DARIPADA BELI D TOKO PENIPU BGNI !!,1
Alesha 1486,pelayanan mantap bisa COD,5
Azvicky Fadzry,Pengiriman lambat,1
riswanda import,mantap,4
Dani Reyhan,Mantap belanja di zalora,5
Bernard Adu,harga nya mahal,2
Dion Jalung,diskon gila gilaan,5
Brongs “Brongs”,barang original,5
Arkan Faeyza,Bismillahirrahmanirrahim 😇,5
Risky Febrianto,"lumayan kalo pas diskon, sayangnya promo kartu kreditnya berubah mulu pas mau check out.",5
TONI “anthony gunawan” GUNAWAN,aplikasi erorr terus,2
Dhanna Ramdhani,good,5
Mochamad Fauzi,bagus kualitas barang keren sangat membantu,5
Yousfi Bdg,Coba dulu belanja,4
Ewin Wins,oghey,5
munir nevada,mantap,5
Rubby Kenzi,kenapa hamlin masih di jual padahal itu produk penipu kenapa sekalas zalora masoh menjual produk penipu apa karena duit? gak percaya lagi sama zalora,1
Mufid Fid, mantap eror teros,5
syafi hasbullah,oke,5
Ameng Ponti,eror,5
Kayla maritza susantoo,mantap,5
R VB,kwalitas baik,5
Jaya Putra Kodri,Pesanan sya sampai sekarang blm datang chat media sosial zalora jg ga ada respon tolong dong min jangan buat pelangan kecewa padahal sya pesan tgl 28 sampai sekarang blm sampai,1
MADARA PULSA,Utang oleh min ? Tak bayar sesuk,1
Ujang Abdulaziz,Bintang 5 kalau sistem pengirimannya bisa deperbaiki,4
Irsyad Maulana,bagus,3
jeani ismadona,"barang nya original, sering diskon, packaging nya selalu rapi, selama ini belum pernah mengecewakan, semoga kedepannya selalu begitu 🤗",5
Taufik Taufik,mantaaaap,5
Santosa 1234,terima kasih,5
Samsul Kolatfeka,pesanan mudah dan aman,5
Moch Mansur,"Promonya susah di dapat kan si ,, hanya untuk brand2 tertentu. sama pengiriman agak lama .",3
Helnika devrin,"Mau saya bicara soal sistem saya juga faham tapi yang pasti alasan saya selalu ga jadi belanja karena loadingnya lama, dan butuh waktu lama buat buka detail, lihat produk dllnya. Semoga sistemnya bisa diperbaiki dan bisa di akses dijaringan apa saja.",4
Hadi Andromeda,joss original,5
Iin Indraswati,"Kalau mau cari barang ori selalu kesini, mantap deh.....",5
Flora Rini,👍🏻👍🏻👍🏻,5
dini vegesacky,mempermudah urusan belanja,5
Yogi Pratama,ok,5
deri akmal,nice,5
20. puput indah sari,"Halo Zalora, minta tolong untuk cek paket saya. Saya pesan dari tanggal 14 Juni, tetapi status barangnya masih diproses di bea cukai.",1
Eet Sandoro,mantap,5
m .ikhsan,"disini barang brand smua jadi no kw kw, jadi ga perlu khawatir lagi deh g kya di shop33 kalo beli barang branded kadang suka khawatir barang tiruan",5
Hadi Ilyas,mantappp,5
Nor Amin,Barang yg ditampilkan beragam dan branded,5
firdaus,"keren apk nya 👍, byk branded nya",5
Noor Hasanah,Andalan kami yg jauh dr kota kalo mau cari barang ori. Thanks zalora 😍😍,5
Pauzan Yunis,Semenjak belanja di Zalora. Pengalaman sangat memuaskan. Product di jamin Original. Senang belanja di Zalora.,5
Mukhtar Khudori,Yg di cari apa yg keluar apa...aplikasi ga jelas..,2
Yad!e Mana_99,ganggu aja ni iklas,1
Rena Untsa,"setiap mau kelur aplukasi, masuk kembali selalu minta log in ulang. nyusahin banget. Olshop lain lebih praktis",1
Alfad 123,"produknya bagus, sesuai dengan pict",4
Dian cipriyanto,Zalora sistem pengiriman nya jadul banget engga kelacak sampai mana sampai mana nya pesanan dari luar negeri nya,2
Abdul Azis,Susah hubungi customer servis terkait pengiriman atau complain .bot mulu yang jawab.,1
Tike Ramadhanti,gak pernah gagal prodaknya bagus semua,5
Tommy Gunawan,ok,5
Zoel Ntd,okay,5
apriadi kusuma,mantap,5
Wayan Sunarmawan,belanja yg pertama,5
Bonaventura 86,Ok,5
Arjava JaP,Aplikasi bagus. Cuma kl boleh saran dikolom review customer dikasih foto dong. Biar kita bs bandingin real pic user dg di aplikasi sama.,4
sobir rien,Maaih bingung cara menggunakan saldo wallet,3
Ricky Yonardi,"Pengirimannya terlambat, tidak sesuai dengan waktu yang dijanjikan. Mohon diperbaiki proses pengiriman barang ke konsumen.",1
Nurul Azizah,sangat bagus,5
jcell game,"saya kurang puas dengan detail produk di aplikasi ini, karena tidak mencantumkan alamat penjual. Padahal hal ini penting bagi pembeli dalam mengambil keputusan untuk membeli atau beralih ke produk lain. Informasi alamat penjual juga sangat terkait dengan kecepatan pengiriman. Hal ini telah membuat saya berfikir untuk menggunakan aplikasi selain zalora untuk belanja barang.",2
Hisyam Hadi,ᶻ 𝗓 𐰁 .ᐟ,5
Diyan hardiyanti,very good,4
Surys Barata,Oke langsung,5
said saeed,"barangnya aseli 100%, kadang kadang dapat harga murah di bawah harga standar pasaran..",5
Yoyok Pryanto,bagus,5
Nina In Na,Pengiriman berteletele. 😡 Paket pertama salah kirim. Paket kedua gak datang2 hampir 2 minggu. Di chat susah. Di email? itu lebih parah.,1
Andi Muflihun,lumayan lah,4
Rizqo apr,nice,4
Hemiliya Andromeda,Baik,5
Edis Manik,bagus dehh,5
Abdul mundzi rumata Rumata,👍,5
Chris Evan,"3 dulu, nanti Kaloh dah co kalo bagus ganti 5 🤩",3
The Sky,Tolong ditambahkan foto di ratingnya. Selebihnya oke sih selama ini belanja di zalora,4
Esa Ganendra,keren,5
Pujiana,good,5
Debora Theodora,Terbaik 🔥🔥🔥,5
Desti Andikasari,Barang branded original gak pake worry. Pengiriman cepat 🥰,1
Queen apartemen,memuaskan,5
Irfanalisyraf Irfanalisyraf,saya baru order tidak tahu bahannya bagaimana tapi layanannya oc eror,5
anton bere,Terpercaya,5
Muhamad Aditio,keren,5
12love,KEMBALIKAN DANA SAYA !!! UDAH 4X BARANG BATAL PENGIRIMAN !!! GA ADA RESPON SAMA SEKALI CHAT MAUPUN DM DI IG. INI PAKET UDAH 11 HARI PER TANGGAL 25 JUNI 2024 GA ADA KEJELASAN SELALU BATAL PENGIRIMAN !!!!! DI MANA TU BARANG DAN SAMPAI MANA !!!! ALASANNYA KENAPA !!!! LACAK RESI GA BISA SAMA SEKALI. KECEWA ZALORA BELANJA DARI 2017 GINI AMAT PELAYANANNYA . LU CEK PEMBELIAN.,1
Pops & Moms,"KURIR CACAT , 4X GAGAL KIRIM",1
Sastro Joyo,"gak jelas, mau log in lupa password malah mbulet gak jelas",1
Nabila auri azhar,😍😍😍,4
Dee ans,ok,5
Boy Kasir,bagus aplikasinya barangnya original semua,5
wldnnn,mntp well,5
Yuli dwi Lia,"Saya belanja di app ini ter tgl 11 juni 2024, sampai hari ini msh on proses,,,sdh melampaui tgl ketentuan, tlg di perhatikan untk mslh pengirimannya.",3
Adeyana RnD,mantanp,4
Jose,Barang ny keren keren... sesuai ekspektasi ❤️❤️,5
Desembe Rsatu,gak asik banget si belanja disini voucer gak jelas pas cekout harga mahal.. voucer gak bs digunain.. kembalikan zalora spt th 2020,1
Angel,bgus,5
mohamad syams,"Fitur Live chat sangat lelet min, tolong di perbaiki",4
Furqan Lsw,oke bnget,5
asrul rifan,"sampai saat ini produk semua memuaskan. barang sesuai gambar., tidak seperti apk sebelah yang sering live..",5
al causar,Sangat bagus,5
Agus Fahmi,Pasti original,5
nina martika,keren apik,5
paramita wulandari,Barangnya sesuai harapan dan bs COD...,5
Musliadi Musli,baik,5
Septiyani dwi puteri,sangat puas,5
Herlina Rustam,mantap zalora,5
haris prasetya,"Beli dompet swiss polo order tanggal 06 juni 2024, sampai tanggal 21 juni 2024 keterangan masih di proses gudang, mau Refund proses nya ribet banget. Semoga kedepannya lebih baik marketplace nya ini Tambahan ""Kabar baik! Barang Anda telah dikirim! Diperkirakan akan sampai ke Anda oleh 19/06/2024 dengan ZDEX - SEMARANG - CL"" Status sudah dikirim tapi di klik lacak tidak bisa, sampai tanggal 22 Juni 2024 Belum ada kejelasan",1
Palisu Taru,Pelayanan dan barang berkualitas,5
Ahmad Farisi,wahhh,5
Shopia,bisa dipercaya,5
Chintia Ale28,Menyenangkan,5
Komar Udin,Mantap,5
Hadi susanto,ok,5
Bapa Deni,Senang belanja di zalora..semua lengkap.kalo ada pengembalian atau penukaran barang juga cepat prosesnya,5
Mama Sabiq,Sangat memuaskan / kalo bisa ad brand zara donk,5
Saepul Rijal,Barang barangnya bagus bagus,5
ala bidzikrillah,"beberapa kali belanja di sini , cuma 1 yg ga kusuka tbtb cancel pesanan ku secara sepihak padahal campaign promo lgi besar banget , overall its good",2
Fany Syafatania,"Pesan batik, dan yg dikirim tidak sesuai dengan foto yg saya pilih. Masalahnya adalah, ketika komplain diarahkan untuk mengembalikan barang untuk direfund uangnya apabila lolos quality control (tidak diberi opsi lain seperti penggantian). Jadi dgn kata lain, solusi yg diberikan adalah saya mengeluarkan uang untuk pengembalian, tapi saya tidak dapat apa apa.",1
Wiwik Sulistyo,Banyak discount...kwalitas bagus dgn harga discount...jadi murah dan terhzngkau👍👍👍,5
Wariz Dc,Selama ini sangat puas dengan pelayanannya,5
Ruby Sherlly,Produk sdh pasti ori... gampang d,5
HeriYanto Nuranas,"Saya kecewa dengan zalora karena,... Uang pengembalian pembayaran yang gagal di kirim saat pertama diskon belum saya terima sampai saat ini, padahal janjinya 7hari kerja,... Dan saya sudah menjadi member zalora VIP,.... 🥴🥴🥴",1
Azzamputra Kayana,ah,5
Ichayanti THR,ok,5
himaruby,bagus bngt,5
Mas Alfian,mantap,5
Sobri Ihsan,baru perdana di pake.,3
orgrandom :,Deskripsi membingungkan saya pesen spt uk 10 harusnya 28 cm malah 16cm kacau zalora susah dimengerti artikelnya semoga bisa di retur cs nya susah tdk seperti sebelah,1
Mugi Yati,kualitas item pasti ori,5
Verly Pelmelai,barangnya bagus bagus,5
Keiko Wibowo,memudahkan dlm mencari kebutuhan,5
Irwan Wawan,sering update,3
Deddi Perangin Angin,mantap,5
Imam Lapendos86,Mantap,5
Agnes Setiyaningsih,"Setiap kali order pasti selalu salah alamat tujuan, ribet bgttt bnr2 dipersusah buat komplainnn, mrketplace paling ga rekomenn",1
Agi Arahman,"Zalora Sekrng Aneghh Pesan 3itemm belom berapa jam di batalkan oleh pihak Zalora dg alasan Pembyaran telat aneghh, biasanya qta bayar direct besokknya pas jam kerja siang Eghh di Batalinnn 🙃🤔🧐😩🤪",2
GULA JAWA,banyak pilihan pembayaran,4
Jaya Pandisa,keren,5
ABM Motor,ok,5
NOTVEREUS,gacor,5
Asep Ridwan,Super app,5
Petani Muda Lampung,mantappp,5
Puput Nur,"GAKSUDI BELANJA DI APLIKASI INI LAGI, SEMOGA CEPET BANGKRUT DEH. PENIPUAN!!!! DUIT GUE 1,7JT GAADA KEJELASAN KAPAN BARANG DIKIRIM UDH NUNGGU 3 MINGGU, EMAIL DM KOMEN TIDAK DI RESPON, GAK SANGGUP BAYAR CS YA??? APA CS NYA KERJAANNYA TIKTOKAN DOANG? SAYA BELI PAKE UANG YA, BUKAN PAKE DAON, YANG LAIN JANGAN SAMPE BELANJA DI APLIKASI BAPUK PENIPU INI",1
Purnomo Ridho,Mantullll,5
aditia santara,"Promo-promonya sangat menarik, penggunaan menu yang sangat mudah seta mudah di pahami.",5
Wawan Juanda,Sangat membantu pencarian barang original,5
Sulfia Ibrahim,mantap,5
Sumatera Variasi motor,Di suruh update terus,3
Emha Husnan Wahid,Tambahkan pembayaran transaksi lewat Indomart atau Alfamart supaya lebih banyak pilihan pembayaran.,5
Rusdi Gani,"iklan penipuan, gausah di download apk gajelas",1
Ilana Lautan,Zalora up to date,5
eka nur wahyuni,Barang bagus sesuai deskripsi terkirim sesuai jadwal,5
purwanti ningrum (pungki),"Sementara bintang 1 dulu. Abis di update barang ga bisa ditampilkan semua, filternya juga ga bisa, setiap mau di scroll coba lagi😢",1
Roysyahputra Syaputra,Kenapa setelah update Setiap dibuka selalu tampil update terus,1
Jaya Jaya,kualitas terjamin original,5
Achmad Kevin Masyelino,🤌,5
Sally Novi,Sangat di percaya dan sangat luar biasa pelayanan nya👏🏆👍👍,5
Timi Mimi,Barang original semuanya,5
Grace Siahaan,Suka belanja di Zalora karena barang2 nya ORI,5
Silfia Eka,mantabbbb,5
Ayu Kartikawati,"Good, keren keren",5
Syaifullah Syaifullah,Sangat baik dari segi pengiriman dan barang original 100%,5
Ikbal Jabrik,ZALORA BRAND2 nya sangat bagus2 👍,5
tomy matindas,belom coba,4
samainangkoan daniel,Sangat puas dan senang,5
Denden Abdul Aziz,Barangnya 100% original,5
Bang Bungas,Cek dulu mantap,4
Uranium Trend,Bagus cuma pengembalian dana yang ruwet.harusnya kan transfer ke rekening yang punya akun,3
Mas Bukeng,Zalora peroduknya asli,5
cavin Indarto,"Sering beli sepatu, pakaian dan celana. Produknya bagus dan sesuai saya itu tidak pernah salah dan gak palsu / zonk. Asli banget tapi tergantung Merk yang cocok mana . Pembayaran cukup baik dan sedikit lengkap lagi.",5
Siti Siti,Hampir selalu memuaskan,5
Bulkum Bulkum,Mantap..,4
Soko Setia Mahendra,selalu menjaga originalitas,5
Lilik Dartiningsih,Barang original,5
Hang Jawe,"Zaloraa mahh joss.. untuk belanja, produk dijamin ori genk",5
Perkedel Sayap,"Udah 1th belanja di zalora, semua aman, andalan buat barang branded. Udah langganan vip jg banyak bgt benefit nya, tp gatau knp waktu aku update udah ga vip lagi??? Ada solusi? Bintang akan aku ubah jika masalahku sudah terselesaikan. Vip masih berjalan sampai des 2024 nanti lho!! Tp tiba² bgt ilang dan kena ongkir",1
Nagamas Indra,"Capek cape war diskon dan beli voucher sampe 149k, Kena pepesan kosong, pesen kaos h&m gak dikirim kirim, diganti voucher 50k, Dan pembayaran dah lebih 7hari gak dikembaliin,... 😡😡😡😡",1
Padmadibrata 08,"Zalora tidak seperti dulu tahun 2019 an 2020an .Discountnya real ..Sekarang discountnya gak jelas makanya saya jadi malas belanja dizalora ,mending lapak sebelah lebih real kasih discount tiap hari..",2
Renny Sujondo,Puas belanja di Zalora sampai saat ini.,5
Fitria Fitria,Sudah jd pelanggan zalora dari tahun 2017,5
yani mulia,Belanja online paling simple dan bisa dikembalikan tanpa ribet..barang yang ditawarkan variatif dan original,5
Shekina “Glory3274”,Terbaik,5
Hezra syauqi,good,5
Tengku Rizal,keren,5
j wolf,Kenapa sekarang untuk barang Zalora VIP untuk member Zalora VIP jadi terkena ongkir ya?,4
Ichsan Mulyana,Belanja branded jadi lebih mudah dengan zalora,5
Nisa Setiadi,Good .....,5
Raja Mizanun Rahman shafiq,"kwalitas seauai harga, produk original",5
Muhammad Nawi,Sayang nya gak ada ruang chat,5
Rona Armayadi,"belanja aman dan berkualitas, uda g perna ke toko lg, original pastinya",5
Guns Fauji,Belanja puas banyak diskon😁,4
hardtrianis hardtrianis,"Di berikan diskon 400.000, Tapi barang tidak pernah dikirim, Kompensasi 50k, pengembalian uang belum di terima sampai sekarang,😡",1
Nia Sindo,Kenapa tidak bisa cek pengiriman ...sudah 1 minggu pesan saya belum tiba,5
Gusti Puspita,Barang bagus dg banyak discount menarik,5
Muhammad ahadi Juliardi,tingkat kan lagi untuk aplikasi nya,5
rusmanto manto,Saya belanja di ZALORA gak pernah kecewa barang selalu Ok,5
Fajrul Islamy,Klo cari barang ori ya disini harga sesuai dangan kualitas. The best lah,5
Pangaribuan,Barang nyan paten dan sangat baik 👍👍👍👍,5
Hasan Cahyadi,Rekomendasi,5
Lily Santoso,"Barang bagus , pengiriman cepat...",5
Budi Kusnendar,Good,5
indah pujilestary,Good,5
Saffa Na,"Duuh tasnya dikira.....,inimah jauh dari pandangan bahannya ,bikin g pede...",1
hartony wijoyo,Barangnya bagus,5
Dodi alkautsar,Good,5
Muhammad Mahud,Barangnya bagus bagus dan ori,5
Iis Jatnikasari,Sepatu paling nyaman,5
New Mahakam grande,ZALORA TERBAIK 🥰,5
IKBAL LAILLIKA,"5 bintang saya untuk produk,tidak untuk pengiriman sudah 3x kecewa Trmksh zalora",5
Margaretta Muryanti,Barang asli/original berkualitas dan pengiriman cepat,5
Qdux W,Zalora the Best,5
BOB SKYLINE ACCECORIES AND AUDIO,Terima kasih zslora,5
Gus Masud92,bagus,5
Iner Aza,Ok,5
suparman SE,koleksi barang bagus,5
Abdillah Abdillah,Sangat menyenangkan belanja di Zalora barang seusai dengan yg di jual,5
euis nurhasanah,Sangaat mudaah buat retur beda dari yang lain,5
la 16,Ok,5
Iwan AffandI,"Barang sudah nyampe, mantap",5
Ursula Veronica W DJOKA,"Belanja di Zalora sangat baik,karena kualitas barang yg di order sangat bagus,dan orisinil 👍👍",5
Nina Yuwavi,"Baru saja pake app ini buat belanja, barang juga masih on proses, jadi belum bisa review kinerja nya, semntara 5 stars, soalnya navigasi buat belanjanya di appnya gampang. Nanti di update lagi reviewnya.",5
Endi Suhendi,Pelayanan baik,5
jimmy dimyati,Kenapa barang yang saya pesan dari tanggal 10 Juni belum sampai juga,1
Faisal King faisal,terbaik,5
Pudhenk Cipung,𝐛𝐚𝐢𝐤,5
riezal have story,Tolong uang saya kembaliakan bangsaat,1
agan pandi,the best online shop,5
Gustie Ferrel,"Bagus , kualitas Original, No ribet , Trims Zalora..😊🤩👍👍",5
ribut priyanto,Sesuai pesanan,5
Mohamad Safari,zalora is oke..,5
Ophir,Barang yg di jual cuma fesyen itupun pihanya ga banyak sekali SHOPEE tetap SHOPEE,1
